,,,,
Navn,Interval,tid,IF,Intervalbeskrivelse
Sub-AT: 3x3m,3x3m,9,6.93,"Sub-AT: 3x3m køres som 3 intervaller af 3 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x4m,3x4m,12,9.24,"Sub-AT: 3x4m køres som 3 intervaller af 4 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x5m,3x5m,15,11.55,"Sub-AT: 3x5m køres som 3 intervaller af 5 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x8m,3x8m,24,18.48,"Sub-AT: 3x8m køres som 3 intervaller af 8 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x10m,3x10m,30,23.1,"Sub-AT: 3x10m køres som 3 intervaller af 10 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x12m,3x12m,36,27.72,"Sub-AT: 3x12m køres som 3 intervaller af 12 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x15m,3x15m,45,34.65,"Sub-AT: 3x15m køres som 3 intervaller af 15 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 3x20m,3x20m,60,46.2,"Sub-AT: 3x20m køres som 3 intervaller af 20 min. kadence 85-100, puls 5-10 slag under AT"
,,,,
Sub-AT: 4x3m,4x3m,12,9.24,"Sub-AT: 4x3m køres som 4 intervaller af 3 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 4x4m,4x4m,16,12.32,"Sub-AT: 4x4m køres som 4 intervaller af 4 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 4x5m,4x5m,20,15.4,"Sub-AT: 4x5m køres som 4 intervaller af 5 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 4x8m,4x8m,32,24.64,"Sub-AT: 4x8m køres som 4 intervaller af 8 min. kadence 85-100, puls 5-10 slag under AT"
,,,,
Sub-AT: 5x5m,5x5m,25,19.25,"Sub-AT: 5x5m køres som 5 intervaller af 5 min. kadence 85-100, puls 5-10 slag under AT"
Sub-AT: 5x8m,5x8m,40,30.8,"Sub-AT: 5x8m køres som 5 intervaller af 8 min. kadence 85-100, puls 5-10 slag under AT"
,,,,
,,,,
,,,,
Sub-AT: 4+1+4…m,4+1+4…m,1x15,12.2,"Sub-AT: 4+1+4…m, køres som 4 min ca. 10-15 slag under AT + 1 min med øget belastning mod AT-zone + 4 min ca. 10-15 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
Sub-AT: 3+1+3…m,3+1+3…m,1x12,10,"Sub-AT: 3+1+3…m, køres som 3 min ca. 10-15 slag under AT + 1 min med øget belastning mod AT-zone + 3 min ca. 10-15 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
,,,,
Sub-AT: 2x(5+2)m,2x(5+2)m,10,7.7,"Sub-AT: 2x(5+2)m køres som 1 intervalserie med 2 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 3x(5+2)m,3x(5+2)m,15,11.55,"Sub-AT: 3x(5+2)m køres som 1 intervalserie med 3 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 4x(5+2)m,4x(5+2)m,20,15.4,"Sub-AT: 4x(5+2)m køres som 1 intervalserie med 4 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 5x(5+2)m,5x(5+2)m,25,19.25,"Sub-AT: 5x(5+2)m køres som 1 intervalserie med 5 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 6x(5+2)m,6x(5+2)m,30,23.1,"Sub-AT: 6x(5+2)m køres som 1 intervalserie med 6 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 7x(5+2)m,7x(5+2)m,35,26.95,"Sub-AT: 7x(5+2)m køres som 1 intervalserie med 7 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 8x(5+2)m,8x(5+2)m,40,30.8,"Sub-AT: 8x(5+2)m køres som 1 intervalserie med 8 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 9x(5+2)m,9x(5+2)m,45,34.65,"Sub-AT: 9x(5+2)m køres som 1 intervalserie med 9 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
Sub-AT: 10x(5+2)m,10x(5+2)m,50,38.5,"Sub-AT: 10x(5+2)m køres som 1 intervalserie med 10 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i Sub-AT-zone"
,,,,
,,,,
Sub-AT: 1x3(5m+30s),1x3(5m+30s),15_6,23.55,"Sub-AT: 1x3(5m+30s) køres som 1 interval af ialt 16.30m. Der køres 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek køres med konstant stigende power."
Sub-AT: 1x4(5m+30s),1x4(5m+30s),20_8,31.4,"Sub-AT: 1x4(5m+30s) køres som 1 interval af ialt 22min. Der køres 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT.... osv. De 30 sek køres med konstant stigende power."
,,,,
Sub-AT: 2x3(5m+30s),2x3(5m+30s),30_12,47.1,"Sub-AT: 2x3(5m+30s) køres som 2  intervaller af ialt 16.30m. Der køres 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek køres med konstant stigende power."
Sub-AT: 2x4(5m+30s),2x4(5m+30s),40_16,62.8,"Sub-AT: 2x4(5m+30s) køres som 2  intervaller af ialt 16.30m. Der køres 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
Sub-AT: 3x3(5m+30s),3x3(5m+30s),45_18,70.65,"Sub-AT: 3x3(5m+30s) køres som 3  intervaller af ialt 16.30m. Der køres 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
Sub-AT: 1x3(3m+30s),1x3(3m+30s),9_6,18.93,"Sub-AT: 1x3(3m+30s) køres som 1 interval af ialt 16.30m. Der køres 3 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 3 min sub-AT... osv. De 30 sek køres med konstant stigende power."
Sub-AT: 1x4(3m+30s),1x4(3m+30s),12_8,25.3,"Sub-AT: 1x4(3m+30s) køres som 1 interval af ialt 22min. Der køres 3 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 3 min sub-AT.... osv. De 30 sek køres med konstant stigende power."
,,,,
Sub-AT: 2x3(3m+30s),2x3(3m+30s),18_12,37.9,"Sub-AT: 2x3(3m+30s) køres som 2  intervaller af ialt 16.30m. Der køres 3 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 3 min sub-AT... osv. De 30 sek køres med konstant stigende power."
Sub-AT: 2x4(3m+30s),2x4(3m+30s),32_16,56.64,"Sub-AT: 2x4(3m+30s) køres som 2  intervaller af ialt 16.30m. Der køres 3 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 3 min sub-AT... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
Sub-AT: 3x3(3m+30s),3x3(3m+30s),27_18,56.79,"Sub-AT: 3x3(3m+30s) køres som 3  intervaller af ialt 16.30m. Der køres 3 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 3 min sub-AT... osv. De 30 sek køres med konstant stigende power."
,,,,
,,,,
,,,,
Sub-AT: 1x(3-2-1)m ,1x(3-2-1)m ,6,4.62,"Sub-AT: 1x(3-2-1)m løbes som 1 interval af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 5 slag under og 1 min. 3 slag under AT. "
Sub-AT: 1x(5-3-2)m ,1x(5-3-2)m ,10,7.7,"Sub-AT: 1x(5-3-2)m løbes som 1 interval af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. "
Sub-AT: 1x(10-3-2)m ,1x(10-3-2)m ,15,11.55,"Sub-AT: 1x(10-3-2)m løbes som 1 interval af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. "
Sub-AT: 1x(10-5-2)m ,1x(10-5-2)m ,17,13.09,"Sub-AT: 1x(10-5-2)m løbes som 1 interval af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 5 slag under og 2 min. 3 slag under AT."
Sub-AT: 1x(15-5-2)m ,1x(15-5-2)m ,22,16.94,"Sub-AT: 1x(15-5-2)m løbes som 1 interval af i alt 22 min. (15 minutter 10 pulsslag under AT, 5 min 5 slag under og 2 min. 3 slag under AT."
,,,,
,,,,
,,,,
,,,,
Sub-AT: 2x(3-2-1)m ,2x(3-2-1)m ,12,9.24,"Sub-AT: 2x(3-2-1)m løbes som 2 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 8 slag under og 1 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(5-3-2)m ,2x(5-3-2)m ,20,15.4,"Sub-AT: 2x(5-3-2)m løbes som 2 intervaller af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(10-3-2)m ,2x(10-3-2)m ,30,23.1,"Sub-AT: 2x(10-3-2)m løbes som 2 intervaller af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(10-5-2)m ,2x(10-5-2)m ,34,26.18,"Sub-AT: 2x(10-5-2)m løbes som 2 intervaller af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 2x(15-5-2)m ,2x(15-5-2)m ,44,33.88,"Sub-AT: 2x(15-5-2)m løbes som 2 intervaller af i alt 22 min. (15 minutter 10 pulsslag under AT, 5 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
,,,,
Sub-AT: 3x(3-2-1)m ,3x(3-2-1)m ,18,13.86,"Sub-AT: 3x(3-2-1)m løbes som 3 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 8 slag under og 1 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(5-3-2)m ,3x(5-3-2)m ,30,23.1,"Sub-AT: 3x(5-3-2)m løbes som 3 intervaller af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(10-3-2)m ,3x(10-3-2)m ,45,34.65,"Sub-AT: 3x(10-3-2)m løbes som 3 intervaller af i alt 15 min. (10 minutter 10 pulsslag under AT, 3 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(10-5-2)m ,3x(10-5-2)m ,51,39.27,"Sub-AT: 3x(10-5-2)m løbes som 3 intervaller af i alt 17 min. (10 minutter 10 pulsslag under AT, 5 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 3x(15-5-2)m ,3x(15-5-2)m ,66,50.82,"Sub-AT: 3x(15-5-2)m løbes som 3 intervaller af i alt 22 min. (15 minutter 10 pulsslag under AT, 5 min 8 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
,,,,
Sub-AT: 4x(3-2-1)m ,4x(3-2-1)m ,24,18.48,"Sub-AT: 4x(3-2-1)m løbes som 4 intervaller af i alt 6 min. (3 minutter 10 pulsslag under AT, 2 min 8 slag under og 1 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
Sub-AT: 4x(5-3-2)m ,4x(5-3-2)m ,40,30.8,"Sub-AT: 4x(5-3-2)m løbes som 4 intervaller af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
,,,,
Sub-AT: 5x(5-3-2)m ,5x(5-3-2)m ,50,38.5,"Sub-AT: 5x(5-3-2)m løbes som 4 intervaller af i alt 10 min. (5 minutter 10 pulsslag under AT, 3 min 5 slag under og 2 min. 3 slag under AT. Minimum. 4 min pause mellem de 2 intervalserier"
,,,,
,,,,
Sub-AT: 1x2m ,1x2m ,2,1.54,Sub-AT: 1x2m løbes som ét interval af 2 min. Puls 8-10 slag under AT
Sub-AT: 1x3m ,1x3m ,3,2.31,Sub-AT: 1x3m løbes som ét interval af 3 min. Puls 8-10 slag under AT
Sub-AT: 1x4m ,1x4m ,4,3.08,Sub-AT: 1x4m løbes som ét interval af 4 min. Puls 8-10 slag under AT
Sub-AT: 1x5m ,1x5m ,5,3.85,Sub-AT: 1x5m løbes som ét interval af 5 min. Puls 5-10 slag under AT
Sub-AT: 1x8m ,1x8m ,8,6.16,Sub-AT: 1x8m løbes som ét interval af 8 min. Puls 8-10 slag under AT
Sub-AT: 1x10m ,1x10m ,10,7.7,Sub-AT: 1x10m løbes som ét interval af 10 min. Puls 8-10 slag under AT
Sub-AT: 1x12m ,1x12m ,12,9.24,Sub-AT: 1x12m løbes som ét interval af 12 min. Puls 8-10 slag under AT
Sub-AT: 1x15m ,1x15m ,15,11.55,Sub-AT: 1x15m løbes som ét interval af 15 min. Puls 8-10 slag under AT
Sub-AT: 1x20m ,1x20m ,20,15.4,Sub-AT: 1x20m løbes som ét interval af 20 min. Puls 8-10 slag under AT
Sub-AT: 1x25m ,1x25m ,25,19.25,Sub-AT: 1x25m løbes som ét interval af 25 min. Puls 8-10 slag under AT
Sub-AT: 1x30m ,1x30m ,30,23.1,Sub-AT: 1x30m løbes som ét interval af 30 min. Puls 8-10 slag under AT
,,,,
Sub-AT: 2x2m ,2x2m ,4,3.08,Sub-AT: 2x2m løbes som 2 intervaller af 2 min. Puls 8-10 slag under AT
Sub-AT: 2x3m ,2x3m ,6,4.62,Sub-AT: 2x3m løbes som 2 intervaller af 3 min. Puls 8-10 slag under AT
Sub-AT: 2x4m ,2x4m ,8,6.16,Sub-AT: 2x4m løbes som 2 intervaller af 4 min. Puls 8-10 slag under AT
Sub-AT: 2x5m ,2x5m ,10,7.7,Sub-AT: 2x5m løbes som 2 intervaller af 5 min. Puls 8-10 slag under AT
Sub-AT: 2x8m ,2x8m ,16,12.32,Sub-AT: 2x8m løbes som 2 intervaller af 8 min. Puls 8-10 slag under AT
Sub-AT: 2x10m ,2x10m ,20,15.4,Sub-AT: 2x10m løbes som 2 intervaller af 10 min. Puls 8-10 slag under AT
Sub-AT: 2x12m ,2x12m ,24,18.48,Sub-AT: 2x12m løbes som 2 intervaller af 12 min. Puls 8-10 slag under AT
Sub-AT: 2x15m ,2x15m ,30,23.1,Sub-AT: 2x15m løbes som 2 intervaller af 15 min. Puls 8-10 slag under AT
Sub-AT: 2x20m ,2x20m ,40,30.8,Sub-AT: 2x20m løbes som 2 intervaller af 20 min. Puls 8-10 slag under AT
Sub-AT: 2x25m ,2x25m ,50,38.5,Sub-AT: 2x25m løbes som 2 intervaller af 25 min. Puls 8-10 slag under AT
Sub-AT: 2x30m ,2x30m ,60,46.2,Sub-AT: 2x30m løbes som 2 intervaller af 30 min. Puls 8-10 slag under AT
,,,,
Sub-AT: 3x2m ,3x2m ,6,4.62,Sub-AT: 3x2m løbes som 3 intervaller af 2 min. Puls 8-10 slag under AT
Sub-AT: 3x3m ,3x3m ,9,6.93,Sub-AT: 3x3m løbes som 3 intervaller af 3 min. Puls 8-10 slag under AT
Sub-AT: 3x4m ,3x4m ,12,9.24,Sub-AT: 3x4m løbes som 3 intervaller af 4 min. Puls 8-10 slag under AT
Sub-AT: 3x5m ,3x5m ,15,11.55,Sub-AT: 3x5m løbes som 3 intervaller af 5 min. Puls 5-10 slag under AT
Sub-AT: 3x8m ,3x8m ,24,18.48,Sub-AT: 3x8m løbes som 3 intervaller af 8 min. Puls 8-10 slag under AT
Sub-AT: 3x10m ,3x10m ,30,23.1,Sub-AT: 3x10m løbes som 3 intervaller af 10 min. Puls 8-10 slag under AT
Sub-AT: 3x12m ,3x12m ,36,27.72,Sub-AT: 3x12m løbes som 3 intervaller af 12 min. Puls 8-10 slag under AT
Sub-AT: 3x15m ,3x15m ,45,34.65,Sub-AT: 3x15m løbes som 3 intervaller af 15 min. Puls 8-10 slag under AT
Sub-AT: 3x20m ,3x20m ,60,46.2,Sub-AT: 3x20m løbes som 3 intervaller af 20 min. Puls 8-10 slag under AT
,,,,
Sub-AT: 4x4m ,4x4m ,16,12.32,Sub-AT: 4x4m løbes som 4 intervaller af 4 min. Puls 8-10 slag under AT
Sub-AT: 4x5m ,4x5m ,20,15.4,Sub-AT: 4x5m løbes som 4 intervaller af 5 min. Puls 5-10 slag under AT
Sub-AT: 4x8 m ,4x8 m ,32,24.64,Sub-AT: 4x8m løbes som 4 intervaller af 8 min. Puls 8-10 slag under AT
,,,,
Sub-AT: 5x4m ,5x4m ,20,15.4,Sub-AT: 5x4m løbes som 5 intervaller af 4 min. Puls 8-10 slag under AT
Sub-AT: 5x5m ,5x5m ,25,19.25,Sub-AT:5x5m løbes som 5 intervaller af 5 min. Puls 8-10 slag under AT
,,,,
Sub-AT: 4+1+4…m ,4+1+4…m ,1x15,12.2,"Sub-AT: 4+1+4…m, løbes som 4 min ca. 8-10 slag under AT + 1 min med øget belastning mod AT-zone + 4 min ca. 8-10 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
Sub-AT: 3+1+3…m ,3+1+3…m ,1x12,10,"Sub-AT: 3+1+3…m, løbes som 3 min ca. 8-10 slag under AT + 1 min med øget belastning mod AT-zone + 3 min ca. 8-10 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
Sub-AT: 2+1+2…m ,2+1+2…m ,1x12,10.2,"Sub-AT: 2+1+2…m, løbes som 2 min ca. 8-10 slag under AT + 1 min med øget belastning mod AT-zone + 2 min ca. 8-10 slag under AT.. osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
Sub-AT: 2x(3+1)m ,2x(3+1)m ,6,4.62,Sub-AT: 2x(3+1)m løbes som 1 intervalserie med 2 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 3x(3+1)m ,3x(3+1)m ,9,6.93,Sub-AT: 3x(3+1)m løbes som 1 intervalserie med 3 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 4x(3+1)m ,4x(3+1)m ,12,9.24,Sub-AT: 4x(3+1)m løbes som 1 intervalserie med 4 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 5x(3+1)m ,5x(3+1)m ,15,11.55,Sub-AT: 5x(3+1)m løbes som 1 intervalserie med 5 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 6x(3+1)m ,6x(3+1)m ,18,13.86,Sub-AT: 6x(3+1)m løbes som 1 intervalserie med 6 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 7x(3+1)m ,7x(3+1)m ,21,16.17,Sub-AT: 7x(3+1)m løbes som 1 intervalserie med 7 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
Sub-AT: 8x(3+1)m ,8x(3+1)m ,24,18.48,Sub-AT: 8x(3+1)m løbes som 1 intervalserie med 8 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i Sub-AT-zone
,,,,
,,,,
Sub-AT: 2x(5+2)m ,2x(5+2)m ,10,7.7,Sub-AT: 2x(5+2)m løbes som 1 intervalserie med 2 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 3x(5+2)m ,3x(5+2)m ,15,11.55,Sub-AT: 3x(5+2)m løbes som 1 intervalserie med 3 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 4x(5+2)m ,4x(5+2)m ,20,15.4,Sub-AT: 4x(5+2)m løbes som 1 intervalserie med 4 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 5x(5+2)m ,5x(5+2)m ,25,19.25,Sub-AT: 5x(5+2)m løbes som 1 intervalserie med 5 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 6x(5+2)m ,6x(5+2)m ,30,23.1,Sub-AT: 6x(5+2)m løbes som 1 intervalserie med 6 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 7x(5+2)m ,7x(5+2)m ,33,25.41,Sub-AT: 7x(5+2)m løbes som 1 intervalserie med 7 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 8x(5+2)m ,8x(5+2)m ,36,27.72,Sub-AT: 8x(5+2)m løbes som 1 intervalserie med 8 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 9x(5+2)m ,9x(5+2)m ,39,30.03,Sub-AT: 9x(5+2)m løbes som 1 intervalserie med 9 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
Sub-AT: 10x(5+2)m ,10x(5+2)m ,42,32.34,Sub-AT: 10x(5+2)m løbes som 1 intervalserie med 10 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i Sub-AT-zone
,,,,
,,,,
,,,,
Sub-AT: 1x3(5m+30s) ,1x3(5m+30s) ,15_6,23.55,"Sub-AT: 1x3(5m+30s) løbes som 1 sammenhængende interval af ialt 16.30m. Der løbes 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek løbes med konstant stigende power."
Sub-AT: 2x3(5m+30s) ,2x3(5m+30s) ,30_12,47.2,"Sub-AT: 2x3(5m+30s) løbes som 2 sammenhængende intervaller af ialt 16.30m. Der løbes 5 min i sub-AT-zone efterfølgende af 30 sek. power på stigning, derefter 5 min sub-AT... osv. De 30 sek løbes med konstant stigende power."
,,,,
,,,,
,Indset ny linje foer denne linje hvis du tilfoejer nye intervaller,,,
,,,,
,,,,
,AT,,,
,,,1.0,
AT: 1x3m,1x3m,3,3,"AT: 1x3m køres som 1 interval af 3 min. kadence 85-100, puls i AT-zone"
AT: 1x4m,1x4m,4,4,"AT: 1x4m køres som 1 interval af 4 min. kadence 85-100, puls i AT-zone"
AT: 1x5m,1x5m,5,5,"AT: 1x5m køres som 1 interval af 5 min. kadence 85-100, puls i AT-zone"
AT: 1x8m,1x8m,8,8,"AT: 1x8m køres som 1 interval af 8 min. kadence 85-100, puls i AT-zone"
AT: 1x10m,1x10m,10,10,"AT: 1x10m køres som 1 interval af 10 min. kadence 85-100, puls i AT-zone"
AT: 1x12m,1x12m,12,12,"AT: 1x12m køres som 1 interval af 12 min. kadence 85-100, puls i AT-zone"
AT: 1x15m,1x15m,15,15,"AT: 1x15m køres som 1 interval af 15 min. kadence 85-100, puls i AT-zone"
AT: 1x20m,1x20m,20,20,"AT: 1x20m køres som 1 interval af 20 min. kadence 85-100, puls i AT-zone"
AT: 1x25m,1x25m,25,25,"AT: 1x25m køres som 1 interval af 25 min. kadence 85-100, puls i AT-zone"
AT: 1x30m,1x30m,30,30,"AT: 1x30m køres som 1 interval af 30 min. kadence 85-100, puls i AT-zone"
,,,,
AT: 2x3m,2x3m,6,6,"AT: 2x3m køres som 2 intervaller af 3 min. kadence 85-100, puls i AT-zone"
AT: 2x4m,2x4m,8,8,"AT: 2x4m køres som 2 intervaller af 4 min. kadence 85-100, puls i AT-zone"
AT: 2x5m,2x5m,10,10,"AT: 2x5m køres som 2 intervaller af 5 min. kadence 85-100, puls i AT-zone"
AT: 2x8m,2x8m,16,16,"AT: 2x8m køres som 2 intervaller af 8 min. kadence 85-100, puls i AT-zone"
AT: 2x10m,2x10m,20,20,"AT: 2x10m køres som 2 intervaller af 10 min. kadence 85-100, puls i AT-zone"
AT: 2x12m,2x12m,24,24,"AT: 2x12m køres som 2 intervaller af 12 min. kadence 85-100, puls i AT-zone"
AT: 2x15m,2x15m,30,30,"AT: 2x15m køres som 2 intervaller af 15 min. kadence 85-100, puls i AT-zone"
AT: 2x20m,2x20m,40,40,"AT: 2x20m køres som 2 intervaller af 20 min. kadence 85-100, puls i AT-zone"
AT: 2x25m,2x25m,50,50,"AT: 2x25m køres som 2 intervaller af 25 min. kadence 85-100, puls i AT-zone"
AT: 2x30m,2x30m,60,60,"AT: 2x30m køres som 2 intervaller af 30 min. kadence 85-100, puls i AT-zone"
,,,,
AT: 3x3m,3x3m,9,9,"AT: 3x3m køres som 3 intervaller af 3 min. kadence 85-100, puls i AT-zone"
AT: 3x4m,3x4m,12,12,"AT: 3x4m køres som 3 intervaller af 4 min. kadence 85-100, puls i AT-zone"
AT: 3x5m,3x5m,15,15,"AT: 3x5m køres som 3 intervaller af 5 min. kadence 85-100, puls i AT-zone"
AT: 3x8m,3x8m,24,24,"AT: 3x8m køres som 3 intervaller af 8 min. kadence 85-100, puls i AT-zone"
AT: 3x10m,3x10m,30,30,"AT: 3x10m køres som 3 intervaller af 10 min. kadence 85-100, puls i AT-zone"
AT: 3x12m,3x12m,36,36,"AT: 3x12m køres som 3 intervaller af 12 min. kadence 85-100, puls i AT-zone"
AT: 3x15m,3x15m,45,45,"AT: 3x15m køres som 3 intervaller af 15 min. kadence 85-100, puls i AT-zone"
AT: 3x20m,3x20m,60,60,"AT: 3x20m køres som 3 intervaller af 30 min. kadence 85-100, puls i AT-zone"
,,,,
AT: 4x3m,4x3m,12,12,"AT: 4x3m køres som 4 intervaller af  min. kadence 85-100, puls i AT-zone"
AT: 4x4m,4x4m,16,16,"AT: 4x4m køres som 4 intervaller af 4 min. kadence 85-100, puls i AT-zone"
AT: 4x5m,4x5m,20,20,"AT: 4x5m køres som 4 intervaller af 5 min. kadence 85-100, puls i AT-zone"
AT: 4x8m,4x8m,32,32,"AT: 4x8m køres som 4 intervaller af 8 min. kadence 85-100, puls i AT-zone"
AT: 4x10m,4x10m,40,40,"AT: 4x10m køres som 4 intervaller af 10 min. kadence 85-100, puls i AT-zone"
AT: 4x15m,4x15m,60,60,"AT: 4x15m køres som 4 intervaller af 15 min. kadence 85-100, puls i AT-zone"
,,,,
,,,,
AT: 5x4m,5x4m,20,20,"AT: 5x4m køres som 5 intervaller af 4 min. kadence 85-100, puls i AT-zone"
AT: 5x5m,5x5m,25,25,"AT: 5x5m køres som 5 intervaller af 5 min. kadence 85-100, puls i AT-zone"
AT: 5x8m,5x8m,40,40,"AT: 5x8m køres som 5 intervaller af 8 min. kadence 85-100, puls i AT-zone"
,,,,
AT: 6x5m,6x5m,30,30,"AT: 6x5m køres som 6 intervaller af 5 min. kadence 85-100, puls i AT-zone"
,,,,
,,,,
AT: 3x(3+1)m,3x(3+1)m,9,9,"AT: 3x(3+1)m køres som 1 intervalserie med 3 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 4x(3+1)m,4x(3+1)m,12,12,"AT: 4x(3+1)m køres som 1 intervalserie med 4 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
